"CRN","AGE","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","AIRBAG_PADS","DVR_LIC_STATE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","NON_MOTORIST","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","TRANSPORTED_BY","UNIT_NUM","VULNERABLE_ROAD_USER"
"2016039219","64","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","M","N","","1","0"
"2016039219","89","02","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","2","0"
"2016040306","60","","","","","0.0","FL","3.0","","","","0.0","0","1","1.0","3.0","","M","Y","","1","0"
"2016038926","61","02","","","","8.0","PA","0.0","","","","8.0","0","1","1.0","3.0","","F","N","","1","0"
"2016038926","22","02","","","","8.0","PA","0.0","","","","0.0","0","2","2.0","3.0","","M","N","","1","0"
"2016038926","21","","","","","9.0","PA","0.0","","","","0.0","0","3","1.0","3.0","","F","N","","2","0"
"2016042992","17","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2016042992","40","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","2","0"
"2016039223","29","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","M","N","","1","0"
"2016039223","73","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","M","N","","2","0"
"2016038945","55","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","1","0"
"2016038945","55","","","","","0.0","PA","0.0","","","","0.0","0","2","2.0","1.0","","F","N","","1","0"
"2016038945","53","","","","","99.0","","9.0","","","","8.0","1","1","4.0","99.0","","M","Y","","2","1"
"2016041324","26","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","F","N","","1","0"
"2016041324","72","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","M","N","","2","0"
"2016042532","29","02","","","","8.0","PA","0.0","","","","3.0","0","1","1.0","3.0","","M","N","","1","0"
"2016042799","30","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2016042799","57","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","2","0"
"2016042806","19","","","","","0.0","PA","0.0","","","","8.0","0","1","1.0","0.0","","M","N","","1","0"
"2016042806","28","03","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2016038848","75","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2016038848","64","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","M","N","","2","0"
"2016038848","39","","","","","9.0","PA","0.0","","","","3.0","0","2","2.0","0.0","","F","Y","","2","0"
"2016038848","36","","","","","9.0","PA","0.0","","","","3.0","0","3","2.0","0.0","","M","Y","","2","0"
"2016039240","22","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2016039240","21","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","99.0","","M","N","","2","0"
"2016042234","22","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","1","0"
"2016042967","74","","","","","0.0","PA","6.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2016042967","74","","","","","0.0","PA","6.0","","","","0.0","0","2","2.0","1.0","","M","N","","1","0"
"2016042529","24","","","","","9.0","GA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2016042529","29","","","","","9.0","GA","0.0","","","","0.0","0","2","2.0","3.0","","M","N","","1","0"
"2016041763","58","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2016039236","51","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2016039236","35","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","2","0"
"2016039236","33","","","","","0.0","PA","0.0","","","","0.0","0","2","2.0","3.0","","M","N","","2","0"
"2016040368","67","M","","","","8.0","PA","3.0","","","","8.0","0","1","1.0","3.0","","F","Y","","1","0"
"2016040368","50","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","","","2","0"
"2016042618","32","02","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2016042618","60","","","","","0.0","WV","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2016042618","51","","","","","0.0","WV","0.0","","","","0.0","0","2","2.0","3.0","","F","N","","2","0"
"2016042861","26","","","","","99.0","PA","1.0","","","","0.0","0","1","1.0","99.0","","M","","","1","0"
"2016041747","99","","","","","0.0","ZZ","9.0","","","","9.0","0","1","1.0","99.0","","M","N","","1","0"
"2016041747","21","M","","","","8.0","OH","0.0","","","","0.0","0","2","1.0","3.0","","F","N","","2","0"
"2016041747","28","M","","","","8.0","PA","0.0","","","","0.0","0","3","1.0","3.0","","M","N","","3","0"
"2016041747","25","","","","","9.0","PA","0.0","","","","0.0","0","4","2.0","3.0","","M","N","","3","0"
