"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2018009323","02","8","513 LOWELL ST.","","VANDERGRIFT","PA","15690","W.L. ROENIGK","7243531515","","","","","","N","","","","","","N","","A110238","","","","","","1","00153855","11"
"2018031235","02","99","4740 STREETS RUN RD","","PITTSBURGH","PA","15236","A MERANTE CONTRACTING INC","4128844485","999999","","","","","N","","","","","","N","","","","","","","","3","01349719","98"
"2018097443","05","6","593 MALE ROAD","","WIND GAP","PA","18091","BROTHERS AUTO TRANSPORT LLC","6108630200","080000","","","","","N","","","","","","N","","","","","","","","1","00621208","08"
"2018065559","99","99","132 ABERDEEN DR","","ABERDEEN","PA","16066","WILLIAM L ALDER","9999999999","033000","","","","","N","","","","","","N","","","","","","","","2","","99"
"2018005641","03","6","10701 MIDDLEBELT RD","","ROMULUS","MI","48174","URS MIDWEST INC","7349473585","080000","","","","","N","","","","","","N","","","","","","","","4","00790261","08"
"2018107655","99","0","1535 WEBSTER ST","","GARY","IN","46406","UNIVERSAL TRUCKLOAD","9999999999","999999","","","","","N","","","","","","N","","","","","","","","2","","00"
"2018052780","02","1","3132 INDUSTRIAL BLVD","","SOUJT PARK","PA","15102","SOUTH HILLS MOVERS","4128079441","026000","","","","","N","","","","","","N","","999999","","","","","","1","09999999","03"
"2018051242","02","8","900 ELICKER RD","","PLUM","PA","15239","PLUM SCHOOL DISTRICT","4127986388","","","","","","","","","","","","","","","","","","","","1","","11"
"2018044828","05","3","806 PENNSYLVANIA 910 P.","","INDIANOLA","PA","15051","AMERICAN CONTRACTORS EQUIPMENT","4128286960","080000","","","","","N","","","","","","N","","","","","","","","2","00273549","08"
"2018082131","03","1","433 OAKGLEN RD","","HOWELL","NJ","07731","UNIFY","7323677901","","","","","","N","","","","","","N","","","","","","","","1","00179097","00"
"2018097663","03","99","3379 STAFFORD STREET","","PITTSBURGH","PA","15204","BEITLER TRUCKING INC","4127714204","080000","","","","","N","","","","","","N","","","","","","","","3","00335946","08"
"2018072057","03","7","414 GRANT ST","","PITTSBURGH","PA","15219","CITY OF PITTSBURGH","6147498932","","","","","","N","","","","","","N","","","","","","","","2","99999999","04"
"2018022842","05","4","3552 RT 66","","EXPORT PA.","PA","15632","A D WEAVER SERVICES INC.","9999999999","080000","","","","","N","","","","","","N","","00105182","","","","","","1","00345017","08"
"2018045161","05","1","482 COPELAND RD","","FALLSTON","MD","21047","STILL WATERS ENTERPRISES","4438078191","080000","","","","","N","","","","","","N","","","","","","","","2","01880751","08"
"2018073472","05","1","7135 CENTENNIAL PLACE","","NASHVILLE","TN","37209","WESTERN EXPRESS INC.","8774593604","080000","","","","","N","","","","","","N","","","","","","","","1","00511412","08"
"2018009295","99","99","376 FREEPORT RD","","BLAWNOX","PA","15238","BLAWNOX VOLE FIRE CO","9999999999","999999","","","","","N","","","","","","N","","","","","","","","2","","99"
"2018036954","02","99","818 SUMMIT ST","","MCKEESPORT","PA","15132","CLYDE SEYBERT","4126784177","007000","","","","","N","","","","","","N","","99999","","","","","","2","00000999","98"
"2018068219","02","99","915 SOUTH DAVIS AVENUE","","ELKINS RAND","WV","26241","IRON MOUNTAIN SPECIALIZED INC.","3046302560","","","","","","N","","","","","","N","","","","","","","","2","02178933","04"
"2018003772","02","8","101 CASTLEVIEW RD","","PITTSBURGH","PA","15234","MATTHEWS BUS COMPANY","4123848810","","","","","","N","","","","","","N","","","","","","","","1","01245654","11"
"2018014224","05","1","150 VILLAGE CT","","CAROL STREAM","IL","60188","BLACKHORSE CARRIERS","6306908900","065000","","","","","N","","","","","","N","","","","","","","","2","00000000","08"
"2018123646","02","8","2235 BEAVER AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","1","","11"
"2018015492","02","8","345 6TH AVENUE","","PITTSBURGH","PA","15222","PORT AUTHORITY ALLEGHENY COUNTY","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2018113929","02","8","345 6TH AVE. 3RD FLOOR","","PITTSBURGH","PA","15222","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2018075188","99","0","118 MAGNOLIA DR","","GLENSHAW","PA","15116","WILLIAM KASS","9999999999","011000","","","","","N","","","","","","N","","","","","","","","2","","02"
"2019027639","05","0","101 KAPPA DR","","PITTSBURGH","PA","15238","TALON LOGISTICS INC","4129193330","080000","","","","","N","","","","","","N","","","","","","","","2","00030237","06"
"2018057283","05","6","15329 SW 69TH LN","","MIAMI","FL","33193","GMC TRANSPORTATION INC","5016723636","018000","","","","","N","","","","","","N","","","","","","","","2","03089446","08"
"2018129952","02","8","345 SIXTH AVENUE","","PITTSBURGH","PA","15222","PORT AUTHORITY OF ALLEGHENY CO","4124422000","050000","","","","","","","","","","","","","A-00976060","","","","","","2","","11"
"2018027072","01","4","167 POPLAR STREET","","MCKEES ROCKS","PA","15136","TJR CONCRETE","4122288507","011500","","","","","N","","","","","","N","","","","","","","","1","99999999","05"
"2018043699","02","1","2200 ROBINSON BLVD","","PITTSBURGH","PA","15221","WILKINSBURG-PENN JOINT WATER AUT","4122436200","010000","","","","","N","","","","","","N","","A-99999999","","","","","","1","99999999","03"
"2018083241","05","3","PO BOX 920","","WEEDSPORT","NY","13166","PAGE TRANSPORTATION INC.","8147304268","080000","","","","","N","","","","","","N","","","","","","","","4","00211745","06"
"2018089109","04","1","2036 E WILLIAMS RD","","COLUMBUS","OH","43207","UNITED STATES CARGO AND COURIER","4123817350","","","","","","N","","","","","","N","","","","","","","","2","02198987","05"
"2019021368","02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY ALLEGENY COUNTY","4122551385","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2018092923","02","1","174 ONIEDA VALLEY ROAD","","BUTLER","PA","16001","HUNTER IDEALEASE","7242820641","014968","","","","","N","","","","","","N","","","","","","","","1","02383163","98"
"2018093234","","99","P.O. BOX 15701","","LITTLE ROCK","AR","70022","MAIL CONTRACTORS OF AMERICA","9047814738","","","","","","N","","","","","","N","","","","","","","","1","00448797","08"
"2018078660","02","7","RR BOX 717","","SCOTTDALE","PA","15683","GREENRIDGE WASTE SERVICES","4122776319","058400","","","","","N","","","","","","N","","","","","","","","1","00960505","00"
"2018090562","03","99","300 SCOTTDALE AVE.","","SCOTTDALE","PA","15683","PENNLINE SERVICE INC.","7248872106","066000","","","","","N","","","","","","U","","","","","","","","1","00093930","04"
"2018130974","03","1","2 FEARNOT RD., P.O. BOX","","SACRAMENTO","PA","17968","MASSER LOGISTICS SERVICES INC","5706823709","080000","","","","","N","","","","","","N","","","","","","","","1","02378628","08"
"2018112537","99","0","7176 STATE ROUTE 88","","RAVENNA","OH","44266","STV LOGISTICS LLC","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","00"
"2018049288","02","1","146 SIMPSON RD","","GREENSBURG","PA","15601","CLAY'S TRUCK RENTAL AND TRUCK RE","7249258710","011000","","","","","N","","","","","","N","","","","","","","","2","02483840","03"
"2018103572","02","3","2559 STATE ROUTE 88","","FINLEYVILLE","PA","15332","W.G. TOMKO","7243482000","033000","","","","","N","","","","","","N","","","","","","","","2","00076090","03"
"2018090344","02","8","60 54TH STREET","","PITTSBURGH","PA","15201","A1 TRANSIT","4127816170","015703","","","","","N","","","","","","N","","","","","","","","1","00960138","11"
"2018004256","03","3","3710 HENDRICKS ROAD","","AUSTINTOWN","OH","44514","PENN OHIO LEASING LLC","3307998762","080000","","","","","N","","","","","","N","","","","","","","","2","00863408","06"
"2018019124","02","3","40 N. DUANE STREET","","PITTSBURGH","PA","15205","THEODORE TRIESCHOCK","4128535848","016500","","","","","N","","","","","","N","","","","","","","","2","02143934","03"
"2018012499","02","8","2235 BEAVER AVE.","","PITTSBURGH","PA","15233","PORT AUTHORITY  ALLEGHENY COUNTY","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2018096256","02","99","2158","HARVEY AVENUE","EAST LIVERPOOL","OH","43920","RICE HOLDINGS ENTERPRISES INC","3303680739","","","","","","N","","","","","","N","","","","","","","","1","02824031","05"
"2018111704","03","3","2747 LEGIONVILLE RD","","AMBRIDGE","PA","15003","BEEMAC TRUCKING","7242668781","080000","","","","","N","","","","","","N","","A00116640","","","","","","1","00388467","08"
"2018111704","02","1","601 THORN ST","","SEWICKLEY","PA","15143","BOROUGH OF SEWICKLEY","4127418990","033000","","","","","N","","","","","","N","","9999999999","","","","","","2","99999999","03"
"2018008295","05","3","1920 S SR 3","","RUSHVILLE","IN","46173","FRALEY AND SCHILLING INC","5742751445","","","","","","N","","","","","","","","1529","","","","","","1","00125465","98"
"2018081206","03","4","1504 ORANGEWOOD AVE","","PITTSBURGH","PA","15216","DARYL HOUSTON TRUCKING","4124755985","","","","","","N","","","","","","N","","A-00122456","","","","","","1","02102596","04"
"2018051388","02","1","14002 EAST 21ST ST","","TULSA","OK","74134","EAN HOLDINGS","9999999999","025999","","","","","N","","","","","","N","","","","","","","","2","99999999","03"
"2018054709","03","8","3640 OLD OAKDALE RD.","","MCDONALD","PA","15057","SOUTH FAYETTE TOWNSHIP SCHOOL DI","4122214542","","","","","","N","","","","","","N","","","","","","","","2","","11"
"2018029610","02","1","5417 GLENWOOD AVE","","PITTSBURGH","PA","152071847","RAMSEY'S DELIVERY LLC","4129739967","025999","","","","","N","","","","","","N","","","","","","","","2","02963731","03"
"2018048811","02","4","JOHN F. COLEMAN","251 CEMETERY ROAD","SALTSBURG","PA","15681","TAYLOR SERVICES INC","4125890369","073280","","","","","N","","","","","","N","","A108395","","","","","","2","00120871","09"
"2018023639","02","8","345 SIXTH AVENUE","","PITTSBURGH","PA","15222","PORT AUTHORITY OF ALLEGHENY CO.","4124422000","039600","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2018025218","02","1","495 PITTSBURGH ROAD","","BUTLER","PA","16002","HUNTER LEASING LLC","7242820641","","","","","","N","","","","","","","","","","","","","","1","02383163","03"
"2018041076","03","3","18412 PIGEON ROOST RD","","HOWARD","OH","43028","PAUL J. STEIN","7405046507","008000","","","","","N","","","","","","N","","","","","","","","1","00809428","08"
"2018056490","03","7","139 VICTORY RD","","TARENTUM","PA","15084","MORROW REFUSE INC","7242652491","073280","","","","","N","","","","","","N","","","","","","","","2","00400538","09"
"2018017031","02","1","8051 STEUBENVILLE PIKE","","OAKDALE","PA","150719376","NAPPIES FOOD SERVICE","7246953500","026000","","","","","N","","","","","","N","","722682","","","","","","1","00984105","03"
