"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2019066192","05","99","627 WEATHERSPOON LN","","SMITHFIELD","NC","27577-9641","LS TRUCKING","9193009627","","","","","","N","","","","","","N","","","","","","","","2","02134709","08"
"2019102839","03","4","1807 SHENANGO RD","","NEW GALILEE","PA","16141","PNM TRUCKING","7243361400","080000","","","","","N","","","","","","N","","","","","","","","1","01489817","09"
"2019051877","99","3","123 UNKNOWN DR","","UNKNOWN","OH","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","08"
"2019043988","05","1","31 SPRING RUN ROAD EXT","","CORAOPOLIS","PA","15108","GRAND SLAM TRUCKING INC","4122641954","080000","","","","","","","","","","","","","","","","","","","2","00969319","08"
"2019042295","04","1","67 HOOVER AVE","PO BOX 1043","DUBOIS","PA","15801","PARIS COMPANIES","8147151761","065000","","","","","N","","","","","","N","","","","","","","","2","01731565","08"
"2019128512","01","99","15376 SUMMIT AVE 1F OAKBROOK","","TERR","IL","60181","STEPHEN ALLEMANG","6143776688","012000","","","","","N","","","","","","N","","","","","","","","1","","05"
"2019057424","03","99","97 HARRIET ST","","BRACCOCK","PA","15104","TRITON HOLDINGS, LLC","7242445922","073280","","","","","N","","","","","","N","","","","","","","","1","02306709","04"
"2019084941","04","8","2235 BEAVER AVNUE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4122551385","","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019095792","02","8","9 CRESCENT ST","PITTSBURGH","PITTSBURGH","PA","15223","ALLEGHENY TRANSPORT SERVICE","4125984626","999999","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019014253","04","0","1000 FRANK RD","","CIOLUMBUS","OH","43223","EXCELL TRUCKING LLC","6148261988","","","","","","N","","","","","","U","","","","","","","","1","02258095","08"
"2019077085","05","3","130 KEENEY LN","","YORK","PA","17406","ALRO STEEL","8888882576","068000","","","","","N","","","","","","N","","A-00165420","","","","","","6","00165420","08"
"2019038920","99","99","510 KITTANNING AVE DAYT","","DAYTON","PA","16222","K.L. MCINTIRE","7244032245","073280","","","","","N","","","","","","N","","A-0117704","","","","","","1","02086065","99"
"2019063438","02","0","521 NEW TEXAS RD","","PITTSBURGH","PA","15239","PHONES PLUS INC","4126091308","","","","","","N","","","","","","","","00000","","","","","","1","00000000","02"
"2019054786","05","2","PO BOX 157","","BETHEL PARK","PA","15102","MICHAEL BROTHERS TRANSPORTATION","4128356428","080000","","","","","N","","","","","","N","","","","","","","","2","02408389","08"
